55af2716116af63cd97f6ef3aa70523eef0c8e03,taskName,taskNumber,taskURL,name,response,serial,latency,pristineLatency,declined,submitLatency,log_serial,trial_id,responseHandle,stimuli,media,data,block3Cond,feedback,d
55af2716116af63cd97f6ef3aa70523eef0c8e03,namelessTask,1,,,,,,,,,,,,,,,,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-quest,2,quest.js,,,,,,,,,,,,,,,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-quest,,,item6,非常にそう思う,0,227488.30000000005,227488.30000000005,,228259.1000000001,,,,,,,,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-quest,,,item4,非常にそう思う,1,640.6000000000931,877.9000000001397,,1239.5,,,,,,,,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-quest,,,item10,非常にそう思う,2,615.3000000000466,615.3000000000466,,1215.6999999999534,,,,,,,,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-quest,,,item3,null,3,662.6999999999534,626.3999999999069,,1197.8000000000466,,,,,,,,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-quest,,,item8,null,6,659.8999999999069,661.4000000001397,,1218.5,,,,,,,,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-quest,,,item5,非常にそう思う,9,710.5,710.5,,1231.6999999999534,,,,,,,,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,3,time.js,,,,,,,,,,,,,,,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,instructions,,,1277,,,,0,0,space,"[""dummy""]","["" ""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,580,,,,1,1,left,"[""Poor people""]","[""poverty5.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,40,,,,2,2,left,"[""Poor people""]","[""poverty3.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,15,,,,3,3,right,"[""Rich people""]","[""rich2.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,15,,,,4,4,right,"[""Rich people""]","[""rich1.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,14,,,,5,5,right,"[""Rich people""]","[""rich6.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat2right,,,832324,,,,6,6,right,"[""Rich people""]","[""rich5.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,30,,,,7,7,left,"[""Poor people""]","[""poverty6.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people,Rich people"",""block"":1}",,,
55af2716116af63cd97f6ef3aa70523eef0c8e03,my-time,,,cat1left,,,30,,,,8,8,left,"[""Poor people""]","[""poverty1.jpg""]","{""score"":1,""parcel"":""first"",""corResp"":""left"",""condition"":""Poor people,Rich people"",""block"":1}",,,
