f5620506b6a863e13830caa3e2df54836c7d5ad8,taskName,taskNumber,taskURL,name,response,serial,latency,pristineLatency,declined,submitLatency,log_serial,trial_id,responseHandle,stimuli,media,data,block3Cond,feedback,d
f5620506b6a863e13830caa3e2df54836c7d5ad8,namelessTask,1,,,,,,,,,,,,,,,,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-quest,2,quest.js,,,,,,,,,,,,,,,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-quest,,,item7,そう思わない,0,10906.199999988079,5609.5999999940395,,11654.90000000596,,,,,,,,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-quest,,,item10,そう思う,2,2856.5,2856.5,,3686.199999988079,,,,,,,,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-quest,,,item5,そう思わない,3,3564.0999999940395,3564.0999999940395,,4578.4000000059605,,,,,,,,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-quest,,,item6,そう思う,4,4590.800000011921,4590.800000011921,,4524.199999988079,,,,,,,,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-quest,,,item3,そう思う,5,2973.9000000059605,2973.9000000059605,,3737.800000011921,,,,,,,,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-quest,,,item9,そう思う,7,5394.299999982119,5394.299999982119,,4972.4000000059605,,,,,,,,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-quest,,,item1,そう思う,9,2423.199999988079,2423.199999988079,,3371.300000011921,,,,,,,,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,3,time.js,,,,,,,,,,,,,,,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,instructions,,,8750,,,,0,0,space,"[""dummy""]","["" ""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,2781,,,,1,1,right,"[""Poor people""]","[""poverty4.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,801,,,,2,2,right,"[""Poor people""]","[""poverty5.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,782,,,,3,3,left,"[""Rich people""]","[""rich5.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,643,,,,4,4,left,"[""Rich people""]","[""rich2.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,1471,,,,5,5,right,"[""Poor people""]","[""poverty6.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,1231,,,,6,6,left,"[""Rich people""]","[""rich4.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,1029,,,,7,7,right,"[""Poor people""]","[""poverty2.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,902,,,,8,8,left,"[""Rich people""]","[""rich1.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,3601,,,,9,9,left,"[""Rich people""]","[""rich3.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,753,,,,10,10,right,"[""Poor people""]","[""poverty3.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,759,,,,11,11,right,"[""Poor people""]","[""poverty1.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,1266,,,,12,12,left,"[""Rich people""]","[""rich6.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,1952,,,,13,13,right,"[""Poor people""]","[""poverty2.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,1205,,,,14,14,left,"[""Rich people""]","[""rich5.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,995,,,,15,15,right,"[""Poor people""]","[""poverty5.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,727,,,,16,16,left,"[""Rich people""]","[""rich6.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,788,,,,17,17,right,"[""Poor people""]","[""poverty1.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,683,,,,18,18,left,"[""Rich people""]","[""rich2.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat2left,,,617,,,,19,19,left,"[""Rich people""]","[""rich1.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,cat1right,,,627,,,,20,20,right,"[""Poor people""]","[""poverty3.jpg""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Rich people,Poor people"",""block"":1}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,instructions,,,1100,,,,21,21,space,"[""dummy""]","["" ""]","{""blockStart"":true,""condition"":""instructions"",""score"":0,""block"":0}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att1left,,,1492,,,,22,22,left,"[""Bad words""]","[""ひどい""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att2right,,,706,,,,23,23,right,"[""Good words""]","[""平和""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att1left,,,1359,,,,24,24,left,"[""Bad words""]","[""悪""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att2right,,,1020,,,,25,25,right,"[""Good words""]","[""栄光""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att1left,,,1450,,,,26,26,left,"[""Bad words""]","[""ひどい""]","{""score"":0,""parcel"":""first"",""corResp"":""left"",""condition"":""Bad words,Good words"",""block"":2}",,,
f5620506b6a863e13830caa3e2df54836c7d5ad8,my-time,,,att2right,,,1016,,,,27,27,right,"[""Good words""]","[""素晴らしい""]","{""score"":0,""parcel"":""first"",""corResp"":""right"",""condition"":""Bad words,Good words"",""block"":2}",,,
